course_id,course_name,category_id,content_type,difficulty,rating,average_time,features
1001,MySQL Database Design,4,Text,Beginner,4.6,86,"MySQL course covering: Backup and recovery, Data modeling, Security implementation, Query optimization. Perfect for Beginner learners. Includes Interactive content."
1002,Native React Native Development,2,Mixed,Advanced,4.6,86,"React Native course covering: Push notifications, Native features access, App store deployment. Perfect for Advanced learners. Includes Project-based content."
1003,MySQL Performance Tuning,4,Text,Intermediate,3.6,28,"MySQL course covering: Schema design, Query optimization. Perfect for Beginner learners. Includes Mixed content."
1004,JavaFX GUI Development,5,Text,Advanced,4.4,40,"JavaFX course covering: Cross-platform compatibility, System integration, Performance optimization. Perfect for Beginner learners. Includes Mixed content."
1005,Backend Development with Angular,1,Mixed,Intermediate,3.7,37,"Angular course covering: Build responsive websites, Create modern UIs, Implement authentication. Perfect for Advanced learners. Includes Project-based content."
1006,MongoDB Performance Tuning,4,Video,Advanced,4.7,54,"MongoDB course covering: Backup and recovery, Security implementation. Perfect for Intermediate learners. Includes Interactive content."
1007,PyQt GUI Development,5,Interactive,Intermediate,4.8,21,"PyQt course covering: UI component design, Event handling, System integration. Perfect for Intermediate learners. Includes Text content."
1008,Deep Learning Fundamentals,3,Interactive,Advanced,4.0,44,"Deep Learning course covering: Model deployment, Neural network architecture. Perfect for Beginner learners. Includes Text content."
1009,Modern Angular Development,1,Project-based,Intermediate,3.5,66,"Angular course covering: Database integration, Build responsive websites. Perfect for Advanced learners. Includes Text content."
1010,Native React Native Development,2,Text,Intermediate,4.5,21,"React Native course covering: Native features access, Mobile UI/UX. Perfect for Intermediate learners. Includes Project-based content."
1011,PostgreSQL Administration,4,Interactive,Advanced,4.8,98,"PostgreSQL course covering: Security implementation, Schema design, Query optimization, Backup and recovery. Perfect for Intermediate learners. Includes Interactive content."
1012,Building JavaFX Apps,5,Video,Advanced,3.8,38,"JavaFX course covering: Event handling, UI component design. Perfect for Advanced learners. Includes Mixed content."
1013,Computer Vision Fundamentals,3,Video,Beginner,4.7,83,"Computer Vision course covering: Model training, Data preprocessing, Model deployment, Neural network architecture. Perfect for Beginner learners. Includes Video content."
1014,Backend Development with Angular,1,Project-based,Intermediate,3.8,72,"Angular course covering: Implement authentication, Build responsive websites, Create modern UIs, Database integration. Perfect for Beginner learners. Includes Project-based content."
1015,Cross-platform Android Development,2,Project-based,Advanced,3.9,67,"Android course covering: App store deployment, Native features access. Perfect for Beginner learners. Includes Text content."
